Image,Classification,ROI: 0.33 µm per pixel: Hoechst: Mean,ROI: 0.33 µm per pixel: AF1: Mean,ROI: 0.33 µm per pixel: CD45: Mean,ROI: 0.33 µm per pixel: S100a: Mean,ROI: 0.33 µm per pixel: CD4: Mean,ROI: 0.33 µm per pixel: CD8a: Mean,ROI: 0.33 µm per pixel: FoxP3: Mean,ROI: 0.33 µm per pixel: PD1: Mean
LungImg1.ome.tif,,1568.4482,3543.5862,674.882,283.0073,1258.5626,336.1307,227.9038,248.127
LungImg1.ome.tif,,3533.4563,1985.8232,978.0563,246.8291,1208.5223,1116.4816,322.5592,276.2757
LungImg1.ome.tif,CD4,2990.0859,1645.1058,663.014,255.0958,1924.5031,490.014,273.8922,282.1118
LungImg1.ome.tif,CD4,3653.3201,1702.6755,1095.0555,265.8755,2430.3311,649.4178,318.0156,332.9111
LungImg1.ome.tif,PD1,3738.4746,3066.7366,669.7873,254.1032,544.7556,377.8175,290.5699,492.3571
LungImg1.ome.tif,PD1,4998.4023,2307.2188,916.1412,252.2588,813.6612,911.7247,306.2706,659.04
LungImg1.ome.tif,PD1,2529.3491,2650.6841,715.8301,259.6271,1459.215,493.6663,258.0558,371.5439
LungImg1.ome.tif,CD8,6722.1968,2129.9875,1686.6736,258.954,695.3389,1799.4938,294.2385,409.6318
LungImg1.ome.tif,,3615.9412,1653.2697,1137.652,280.75,1024.2598,1388.1128,277.0147,291.2549
LungImg1.ome.tif,CD4,1912.3929,2228.6421,1495.4589,286.1708,2941.7058,369.1358,263.9732,290.5082
LungImg1.ome.tif,CD8,4110.7363,2454.7458,1196.988,277.8369,959.0264,1987.825,263.976,379.5324
LungImg1.ome.tif,CD8,6789.3047,2340.6646,1518.6093,279.3261,1125.1384,2140.9231,315,338.3015
LungImg1.ome.tif,CD4,4296.7515,2254.2488,1301.2281,266.5609,2951.0908,428.9622,281.7393,267.9245
LungImg1.ome.tif,CD4,3942.2834,1694.8356,1261.094,253.6946,2384.1694,520.0034,380.1862,301.5252
LungImg1.ome.tif,CD4,4115.7607,1493.3954,1127.7059,271.5581,2490.4087,428.103,540.6478,287.8854
LungImg1.ome.tif,CD4: FoxP3,2297.4604,1766.3273,788.7788,246.1332,1940.0226,358.1241,714.4605,297.8849
LungImg1.ome.tif,CD8,1520.8094,4076.0261,860.3461,279.5857,578.8094,1467.5,269.8881,273.5839
LungImg1.ome.tif,,2931.0681,1945.8575,492.548,250.7957,857.7399,470.7926,277.5232,273.3405
LungImg1.ome.tif,,3174.2849,2827.1423,648.9146,257.4873,1253.2405,461.7025,291.0823,268.8418
LungImg1.ome.tif,FoxP3,2833.9666,2518.5894,887.1138,282.692,1523.3483,471.8884,1249.2009,288.5402
LungImg1.ome.tif,,2726.2971,3297.8574,932.3206,253.1,643.0603,1526.0662,347.4044,286.8706
LungImg1.ome.tif,CD8,3951.3096,2142.6172,908.3247,256.2968,538.1828,1309.6882,275.4086,287.8559
LungImg1.ome.tif,,2189.0569,1683.9824,943.8724,266.2307,937.2266,803.7653,267.1845,438.479
LungImg1.ome.tif,,3397.509,3340.6042,961.7917,239.4747,449.2307,793.1905,349.6801,276.6622
LungImg1.ome.tif,,4533.2534,1755.0023,817.4791,271.4419,526.5349,1171.714,284.7512,288.8302
LungImg1.ome.tif,CD8,3484.6992,2718.4048,737.6683,254.8602,443.5724,1127.7122,294.6277,287.4894
LungImg1.ome.tif,CD8,3263.6643,3390.2717,933.1617,251.1929,358.1386,1909.9226,269.0516,258.0611
LungImg1.ome.tif,,3281.4609,2530.0698,570.5244,300.3636,1063.3409,449.6899,293.1023,390.2419
LungImg1.ome.tif,CD8,3825.5378,1744.8351,993.2823,247,494.0802,1513.9465,290.0743,271.3774
LungImg1.ome.tif,CD4,3794.1548,3642.4141,786.5969,256.6078,1508.1569,306.8061,251.0566,246.3747
LungImg1.ome.tif,PD1,2621.8994,1882.7791,928.2341,249.8906,1389.4398,349.5624,429.4639,551.1248
LungImg1.ome.tif,CD4,6284.6323,1859.8448,1218.0632,250.977,2943.9685,323.8218,311.0948,342.7126
LungImg1.ome.tif,,1851.2408,2340.384,846.375,256.7835,1305.0244,439.8597,236.3994,257.8415
LungImg1.ome.tif,CD8,3498.2024,3230.2388,818.6235,255.83,773.4777,1525.579,248.7692,280.6761
LungImg1.ome.tif,,4494.876,1729.2931,927.5045,255,710.2507,613.8852,284.2236,282.0786
LungImg1.ome.tif,,3504.0125,2615.7964,723.0603,252.0025,393.2513,997.0829,265.598,260.2362
LungImg1.ome.tif,,3299.1006,1828.25,817.1304,275.0869,1737.25,366.7962,285.3044,334.0272
LungImg1.ome.tif,CD4,2836.5745,3514.3269,1265.972,266.1414,2370.9353,344.3284,299.651,313.8336
LungImg1.ome.tif,,4133.5825,1967.0826,836.9567,278.7165,1478.6536,374.8898,303.9173,293.1024
LungImg1.ome.tif,,6301.0835,2035.4865,694.4767,257.828,1442.6708,360.4496,299.3833,295.1376
LungImg1.ome.tif,CD4,6695.3125,1737.9607,2166.292,282.0538,3371.9048,379.9855,366.8261,416.6915
LungImg1.ome.tif,CD4: FoxP3,5414.6401,1921.0861,1588.77,275.71,2813.8701,386.398,2034.542,317.416
LungImg1.ome.tif,,1780.0363,2997.6357,866.4106,256.1471,1346.2195,523.6323,260.4005,269.4038
LungImg1.ome.tif,,3691.5217,1945.1685,698.7011,255.4837,1199.1359,393.125,277.3587,313.375
LungImg1.ome.tif,,3064.1191,1859.634,721.4383,256.0553,966.0915,446.6255,261.1042,286.3426
LungImg1.ome.tif,CD8,3609.8411,3118.6863,909.2991,249.9132,556.9613,1434.4954,278.8505,266.004
LungImg1.ome.tif,,1556.7754,1911.6212,941.0599,265.3039,905.3353,636.8159,287.6078,304.0898
LungImg1.ome.tif,,3477.6533,2148.0398,1046.894,256.4451,1412.3828,419.2855,297.0823,287.9364
LungImg1.ome.tif,CD8: PD1,5653.9678,1474.2284,1634.3093,273.5755,658.6223,3002.0593,258.0414,594.072
LungImg1.ome.tif,,2731.5454,1784.9229,888.2039,258.0248,883.708,623.5648,285.0193,286.5234
LungImg1.ome.tif,,2497.1907,2251.9873,818.5115,262.8805,930.8805,539.1656,267.3271,289.9832
LungImg1.ome.tif,,3472.2576,2585.707,989.2576,267.405,707.4796,830.5826,268.0941,299.389
LungImg1.ome.tif,CD4,3737.5676,2046.9027,1636.2108,283.1135,2329.3459,641.9676,282.7622,418.4703
LungImg1.ome.tif,CD8,4158.6587,2646.9404,1161.6229,269.1551,412.0525,1070.5442,247.4153,290.7685
LungImg1.ome.tif,CD8,6222.314,1970.1617,1737.8529,277.5098,1734.054,2016.6471,291.5588,469.0539
LungImg1.ome.tif,CD4,5293.0239,1916.9801,1751.9048,277.1071,2710.8572,620.496,319.5555,402.3214
LungImg1.ome.tif,CD4,1817.0593,2124.2866,935.4724,277.498,2029.9961,403.6166,291.7648,452.9071
LungImg1.ome.tif,,5505.5708,4096.8091,1578.8497,264.2876,381.1931,487.706,246.6438,366.442
LungImg1.ome.tif,CD4,7326.7427,1694.9227,1546.8669,251.7511,2858.8025,411.3476,286.5794,461.2575
LungImg1.ome.tif,CD4,3934.114,1999.0225,1315.314,259.8935,3107.8635,427.5701,283.8019,335.4598
LungImg1.ome.tif,,3834.439,3406.5117,1188.3735,275.1003,787.984,1084.5116,249.875,292.0131
LungImg1.ome.tif,,3600.1428,2110.3857,1042.6095,273.9238,1572.5524,637.9048,268.8333,316.5714
LungImg1.ome.tif,,1599.8021,4837.8164,760.9399,256.7845,984.2756,325.8445,265.6891,321.6961
LungImg1.ome.tif,CD8,5245.7026,2026.3547,1359.5743,262.3463,1008.9358,1554.5895,294.5862,352.973
LungImg1.ome.tif,,5048.249,4119.4863,1483.6478,284.0619,811.8213,1253.0911,256.1495,313.7938
LungImg1.ome.tif,CD4,3650.2566,4966.2734,932.293,259.5351,2241.4116,477.862,242.724,290.4722
LungImg1.ome.tif,CD4,4343.8086,2973.3206,1245.9698,270.9128,2394.9883,365.6158,282.6124,397.1795
LungImg1.ome.tif,CD4,4449.1016,2309.3025,1189.2421,270.646,2494.3918,418.4312,307.4781,363.0953
LungImg1.ome.tif,,4066.4487,1753.1057,800.3718,260.0705,850.2853,318.8878,220.0705,243.359
LungImg1.ome.tif,CD8: PD1,4053.9141,2198.7617,820.1219,262.4211,1051.0748,1199.3103,333.5706,470.2909
LungImg1.ome.tif,,3506.5032,2226.6443,767.1166,295.1043,1008.2025,469.2454,300.4969,324
LungImg1.ome.tif,CD4,7765.9253,1923.5043,1128.0519,282.9712,2373.0029,606.4063,308.513,365.6254
LungImg1.ome.tif,CD4,3124.5723,2405.7129,1101.422,259.981,2239.363,340.3365,258.808,300.7528
LungImg1.ome.tif,CD4,4436.6577,2364.0642,1099.4679,283.1696,2579.9883,407.7895,297.1696,371.0877
LungImg1.ome.tif,CD8,4447.8687,4382.4023,1005.1713,279.3705,930.012,1668.9004,265.0558,374.235
LungImg1.ome.tif,,4065.146,2847.6729,665.5135,267.0162,1535.9595,341.3892,248.9162,281.6135
LungImg1.ome.tif,,3980.9766,2601.9917,787.1124,280.1997,1695.5033,665.2282,250.1862,313.2332
LungImg1.ome.tif,,1713.9299,3258.4651,1150.535,281.6624,775.4459,409.344,223.0764,257.2293
LungImg1.ome.tif,CD8,4835.4609,3104.8489,1112.9896,253.3802,934.6224,1889.0807,244.1354,374.9766
LungImg1.ome.tif,CD8,4697.9946,2399.325,1459.7882,287.5602,696.6104,3300.1348,278.1616,269.1221
LungImg1.ome.tif,CD4,2583.1797,1588.4844,1120.0469,296.3984,3019.7578,378.0547,255.4297,237.5547
LungImg1.ome.tif,PD1,2337.9331,2778.4419,771.0491,259.2679,713.4732,618.7232,291.8929,381.4286
LungImg1.ome.tif,,4777.7188,1961.485,711.6467,261.5749,1485.3533,367.8204,306.4072,325.2335
LungImg1.ome.tif,,3216.7556,2382.2749,702.332,254.5382,927.0191,374.9313,250.271,262.9237
LungImg1.ome.tif,,5489.7231,1917.2817,1174.7512,265.723,579.4789,910.4319,275.1221,294.7089
LungImg1.ome.tif,CD8,4045.9846,1734.2755,2054.7346,278.8061,889.8316,3863.1123,283.0102,550.4031
LungImg1.ome.tif,,4352.561,2346.6917,728.1739,245.2767,1793.9604,469.6324,283.6996,305.4032
LungImg1.ome.tif,CD8,1794.0364,2597.0637,1671.6182,320.9909,955.2364,1520,249.3364,281.4091
LungImg1.ome.tif,,2696.5955,2276.5618,950.2472,283.2022,1365.5056,800.3371,302.3708,311.1236
LungImg1.ome.tif,CD4,5168.6992,2183.2437,1013.7704,266.1922,2361.137,370.0374,393.7171,286.5908
LungImg1.ome.tif,,3180.7673,3134.9827,698.4688,263.3229,1260.1597,456.4688,275.25,281.8854
LungImg1.ome.tif,CD8,4678.6411,3146.5159,753.4636,244.1977,594.5318,1207.7637,284.2659,457.1636
LungImg1.ome.tif,CD4,2609.627,3161.2568,790.058,272.4226,1764.942,426,260.3343,299.2431
LungImg1.ome.tif,,3042.7021,2359.9238,813.8937,257.3672,1165.5588,322.261,274.0023,327.0485
LungImg1.ome.tif,CD8,6117.3096,2581.4624,1406.3406,287.35,1198.4781,1199.4219,304.6656,311.7625
LungImg1.ome.tif,CD8,6919.7988,1905.5837,1423.5215,271.8589,782.7607,3320.6506,321.7368,273.1459
LungImg1.ome.tif,CD4,1986.9576,3408.7573,768.6503,262.7483,1762.7684,378.1359,245.3786,300.8552
LungImg1.ome.tif,CD4: PD1,4152.9712,3259.8882,972.2195,268.5486,1980.8096,345.9855,278.3996,678.6853
LungImg1.ome.tif,CD8,7511.0308,1757.9897,1396.0825,246.8316,1587.1478,1907.2474,284.8591,308.3402
LungImg1.ome.tif,CD4,5740.7783,1899.8452,1111.2841,270.6744,2777.5981,354.3857,285.649,363.1247
LungImg1.ome.tif,CD8,6872.1655,2442.0715,1511.396,268.0425,2296.114,2612.9575,316.8009,345.8009
LungImg1.ome.tif,CD4,5976.874,1874.3881,1576.4261,267.7809,2782.269,768.2143,321.1619,262.2191
LungImg1.ome.tif,CD4,5957.9585,2322.1692,1065.1642,264.2794,1975.5588,711.098,534.1226,303.2769
LungImg1.ome.tif,CD4: FoxP3,3942.1946,2719.9175,747.2427,261.3477,1873.957,445.3735,1695.864,290.5439
LungImg1.ome.tif,CD4: PD1,2425.8784,3232.3074,846.0811,265.6993,1893.5912,321.7399,256.3953,1219.5709
LungImg1.ome.tif,,3369.8276,2226.9656,655.8851,246.9483,1219.2701,553.9655,257.2931,271.7299
LungImg1.ome.tif,CD4: FoxP3,3708.998,3296.6567,1106.4889,278.655,1754.1531,493.8506,1198.9243,284.9557
LungImg1.ome.tif,CD4,4878.2959,1807.5747,1274.9253,275.3506,2314.3621,973.8391,274.7155,327.1839
LungImg1.ome.tif,,3573.5537,2195.0232,731.5913,262.742,1312.6464,407.1304,262.1188,300.6261
LungImg1.ome.tif,CD4: PD1,4716.1655,2370.6387,1189.2206,258.863,2203.532,432.2705,303.4875,711.9253
LungImg1.ome.tif,CD4,5494.8975,2475.1401,1146.4308,265.0085,3065.47,457.9692,301.5009,288.8274
LungImg1.ome.tif,CD8,6181.7734,2667.9404,1199.1648,263.6613,815.6659,2023.6934,312.0435,309.5698
LungImg1.ome.tif,CD4,4061.135,2573.7192,1202.8938,259.5675,2206.0151,452.8103,325.6829,310.4856
LungImg1.ome.tif,CD8,4952.9688,2966.8215,1018.7082,259.1303,668.2125,1740.6062,261.796,325.8895
LungImg1.ome.tif,CD4,3171.2356,3851.1919,1183.074,261.5342,2242.9973,379.2657,246.7343,264.3781
LungImg1.ome.tif,,2934.0339,2425.8298,731.2483,250.6327,840.8197,370.7789,266.2109,304.119
LungImg1.ome.tif,CD8,4061.9939,3207.6785,1095.8138,258.4769,662.3262,1580.0785,254.2861,288.2138
LungImg1.ome.tif,CD4,2377.9958,3558.6709,841.3958,257.0917,1950.8042,360.5542,280.9,287.1625
LungImg1.ome.tif,,3584.1365,1933.8038,739.5522,249.4883,690.6567,643.1812,263.8571,301.1429
LungImg1.ome.tif,CD8,2901.325,3137.4856,1815.1821,271.8322,756.2607,2830.2893,272.2179,306.5393
LungImg1.ome.tif,,6204.2183,2242.9868,1337.6968,262.4654,1075.8298,524.5186,266.0984,505.0638
LungImg1.ome.tif,,1755.1388,3304.9124,891.6796,266.9796,656.0102,755.2837,248.4184,276.0408
LungImg1.ome.tif,,3123.084,2581.7976,938.8766,257.3503,1400.5082,362.3586,263.4951,280.2451
LungImg1.ome.tif,,1941.1302,3371.3801,841.9375,271.3698,1491.9115,314.151,227.0625,317.9271
LungImg1.ome.tif,,1841.8273,3713.4526,653.8464,275.3162,894.7071,405.4758,249.8879,269.504
LungImg1.ome.tif,CD4,4497.9824,3183.7537,854.3936,255.1277,1821.8546,429.3475,312.9238,298.0142
LungImg1.ome.tif,FoxP3,1745.146,2265.4575,1071.8418,255.6764,1710.3723,368.1679,903.2798,280.2019
LungImg1.ome.tif,,2377.781,3892.0325,664.7337,254.5888,897.7367,329.0769,242.7101,259.2692
LungImg1.ome.tif,CD4,3800.1177,2173.6216,908.5064,260.8696,2195.7749,433.8312,316.6931,353.6803
LungImg1.ome.tif,CD4,5592.3101,2729.6511,766.9401,253.888,1810.5807,360.9271,321.5521,294.3385
LungImg1.ome.tif,CD4: PD1,6724.644,1925.5601,1049.12,270.764,2079.9241,365.728,305.04,604.18
LungImg1.ome.tif,,6411.7681,2513.2449,786.1598,251.2887,1477.67,329.1211,308.7552,498.6211
LungImg1.ome.tif,,5762.2695,2686.6467,818.9492,247.8168,1654.627,404.6446,353.2627,321.0905
LungImg1.ome.tif,,3516.4883,2731.6577,693.2135,268.2119,1348.6389,464.113,355.6782,297.741
LungImg1.ome.tif,CD4,6437.8369,2252.6685,982.4871,242.4896,2133.645,334.5078,275.5855,315.4534
LungImg1.ome.tif,CD4,4225.5562,2374.4841,1066.5245,258.8011,1848.0259,352.8502,279.902,377.2017
LungImg1.ome.tif,CD4,4976.1519,2149.3069,780.6793,251.4316,1727.2994,348.3298,272.6261,335.3131
LungImg1.ome.tif,CD4: FoxP3,3418.7524,3054.8953,900.1,247.8,1931.4143,339.4333,833.7048,330.2429
LungImg1.ome.tif,,6021.5693,1943.4205,625.3538,259.6051,1423.5538,418.4667,276.718,289.2769
LungImg1.ome.tif,,4407.0708,2587.6672,561.5186,290.8637,1005.7841,632.2921,312.9097,309.9363
LungImg1.ome.tif,CD4,3857.1008,1717.679,1007.4246,260.8729,2253.0603,343.9004,256.1271,285.0721
LungImg1.ome.tif,,5477.4302,2469.2,690.8774,251.8667,591.2452,889.3484,295.4882,374.4108
LungImg1.ome.tif,,4640.5317,2607.6997,725.0391,271.5586,1213.9459,527.7027,302.4414,345.3754
LungImg1.ome.tif,CD8: FoxP3,2948.4043,1943.7913,828.0109,258.2109,513.8239,1467.4261,1152.3652,284.0217
LungImg1.ome.tif,CD4,4261.1001,2473.6753,914.8967,262.3328,2043.8427,347.5426,258.2885,321.4934
LungImg1.ome.tif,CD8,5298.4038,1978.1305,1084.0973,220.8074,550.2588,1280.6066,302.6004,376.5569
LungImg1.ome.tif,,6234.8232,1917.0909,893.6338,245.3221,1385.4519,547.7325,316.7844,320.7273
LungImg1.ome.tif,CD8,5267.9951,2117.6753,882.1436,229.1459,813.5977,1413.7458,307.5576,326.3859
LungImg1.ome.tif,CD4,5291.7554,2169.5149,721.726,265.2852,1731.0778,615.6519,272.2852,324.2741
LungImg1.ome.tif,CD8,4593.4814,1978.1515,1081.3242,255.7029,538.8874,2178.7942,248.2253,328.0408
LungImg1.ome.tif,,2079.4346,2931.2988,686.9494,259.5724,1494.0896,402.8874,320.9058,331.3356
LungImg1.ome.tif,CD4,5531.9087,2035.1473,1268.5938,232.3638,2686.4644,412.5223,304.7411,310.4732
LungImg1.ome.tif,PD1,3434.6055,1982.0288,905.7556,253.8131,586.8898,880.6933,319.5383,697.6677
LungImg1.ome.tif,,5369.2451,2177.9189,696.5333,246,1554.7976,358.6095,324.7119,302.0095
LungImg1.ome.tif,CD4,4318.4883,2024.9603,1072.3334,229.7738,2597.7898,349.0714,651.6707,368.8254
LungImg1.ome.tif,CD4,6309.4604,2096.9568,904.6907,240.7266,2148.5276,562.2494,326.2158,279.6714
LungImg1.ome.tif,,2042.3683,1681.2351,2022.7422,306.0085,559.881,479.9717,279.0906,283.1898
LungImg1.ome.tif,FoxP3,4974.188,1943.0674,874.3192,260.0425,1663.0426,395.5957,1220.4326,317.0922
LungImg1.ome.tif,CD4,5969.8916,2367.5334,929.1166,228.7556,3096.3083,391.8195,280.0028,316.5278
LungImg1.ome.tif,CD8,2799.3547,1784.2008,838.8162,269.812,729.3632,1678.1538,254.9188,321.0727
LungImg1.ome.tif,CD4,6008.5649,2106.1121,808.3677,240.5561,3305.9822,359.0964,279.7937,311.148
LungImg1.ome.tif,CD8: PD1,3093.8464,2402.0566,1038.8132,228.2222,1668.7423,1462.3168,291.1678,538.6099
LungImg1.ome.tif,CD4,6254.106,2046.3439,908.0888,234.3009,2635.6104,359.1662,308.914,324.149
LungImg1.ome.tif,CD8,4901.0078,2520.1736,830.2281,253.3294,493.3762,1838.579,292.8206,282.1326
LungImg1.ome.tif,,2149.2273,3701.3906,671.5697,259.21,608.6678,749.0499,303.9415,262.4268
LungImg1.ome.tif,CD4: PD1,3180.2361,2094.6052,780.9614,232.2618,2311.8198,398.9056,250.6566,455.5923
LungImg1.ome.tif,FoxP3,4323.7314,1955.5642,790.4649,256.7603,1025.8257,326.0969,3019.2495,270.201
LungImg1.ome.tif,CD4,7511.1445,2132.9624,1185.1185,237.0751,1964.3671,401.1329,294.7572,361.6908
LungImg1.ome.tif,CD4,4016.1865,1902.4359,1294.7573,236.6045,3180.9866,402.3528,270.6045,430.2899
LungImg1.ome.tif,,2827.0457,3549.6304,718.5013,262.9949,1346.8228,323.8304,245.2937,274.762
LungImg1.ome.tif,CD4,3621.2451,3114.9189,763.5339,255.0547,1761.7462,298.4201,265.9847,253.6017
LungImg1.ome.tif,,3155.5063,3700.8979,666.2979,255.0723,1215.4,367.3702,269.6255,286.8
LungImg1.ome.tif,CD8,5520.2026,2531.1782,1021.2539,263.0446,970.3942,1376.7861,338.2695,437.6036
LungImg1.ome.tif,CD4,3660.428,1783.9144,862.8132,246.572,2004.2412,416.4202,286.4553,258.9455
LungImg1.ome.tif,CD8,5400.4663,1687.4989,809.149,245.7819,765.8682,1789.2635,299.3542,254.095
LungImg1.ome.tif,CD8,5056.4102,2597.7788,873.8568,234.18,880.2061,1353.2603,298.8698,333.2061
LungImg1.ome.tif,CD4,4475.7261,2786.6018,882.107,263.5017,1830.4421,409.5052,285.3035,340.3702
LungImg1.ome.tif,CD8: PD1,5110.2324,2231.4141,814.6869,228.5758,942.3636,1641.4293,313.8485,395.6566
LungImg1.ome.tif,,5340.2603,2003.7668,880.3632,234.9596,928.0762,444.861,262.87,301.7937
LungImg1.ome.tif,CD4,5216.3545,2274.3306,1095.7155,258.8196,2457.9019,328.6834,262.0782,285.8076
LungImg1.ome.tif,CD4,5196.249,1882.1163,934.3265,253.9082,2452.2593,397.3816,304.0306,309.4633
LungImg1.ome.tif,CD4,4995.5483,2065.5391,734.8344,265.9367,2253.7048,341.6687,276.3855,341.5873
LungImg1.ome.tif,CD4,2391.4043,2253.1177,874.5184,277.8309,1893.5552,358.3603,232.5221,266.6985
LungImg1.ome.tif,,3237.7249,1660.8158,925.5385,258.4312,1222.0559,355.6387,279.8112,283.4382
LungImg1.ome.tif,CD4,4678.0679,1677.514,934.034,251.6942,1823.1743,551.7341,282.8656,401.3545
LungImg1.ome.tif,CD8: PD1,4344.6558,2624.7058,818.2353,277.0115,852.3199,1118.5437,335.9828,597.2281
LungImg1.ome.tif,CD4,6034.249,2106.5425,943.8441,226.2652,2239.1641,343.7429,270.247,287.7449
LungImg1.ome.tif,,5523.2305,1991.355,682.2409,260.0725,1455.0051,338.5078,345.1347,454.671
LungImg1.ome.tif,CD4,5234.2329,2618.7607,808.1248,248.5276,1989.1615,323.0082,278.1616,274.9755
LungImg1.ome.tif,CD4: PD1,2186.9875,3133.3208,857.2318,258.8217,1692.3975,298.6364,236.0784,905.3494
LungImg1.ome.tif,,4003.7771,3212.1826,696.6385,246.9839,1433.0461,443.747,271.8775,274.6867
LungImg1.ome.tif,,1754.8707,3348.4277,736.5077,256.8215,1448.1323,379.7077,272.9016,250.2523
LungImg1.ome.tif,CD4,1907.9349,2121.7397,722.4349,244.5917,1755.5385,304.3018,233.5473,262.0355
LungImg1.ome.tif,,6054.2388,2690.5569,859.9841,241.2,877.225,347.4204,300.9682,252.2068
LungImg1.ome.tif,CD4,4420.1538,1993.469,699.8461,254.3424,2508.5112,331.3251,262.5881,364.4045
LungImg1.ome.tif,,2560.4302,3686.7451,657.0714,253.138,1340.3279,388.8766,274.0812,262.0049
LungImg1.ome.tif,CD8,3681.7612,2331.8071,833.7266,254.1079,594.1324,1416.3021,266.7669,265.9439
LungImg1.ome.tif,,4129.0771,2559.2405,809.4808,253.6442,1334.3413,358.1827,272.1587,271.1298
LungImg1.ome.tif,,1564.1274,3639.0725,795.1824,270.3608,661.5529,840.8275,233.651,303.5745
LungImg1.ome.tif,CD4,4989.6255,3433.6423,648.092,258.8326,1438.3118,300.7762,304.2531,322.0063
LungImg1.ome.tif,CD4,4161.4282,2885.9646,1043.0293,251.1895,1990.5254,400.9414,276.7011,286.6133
LungImg1.ome.tif,CD4: FoxP3,6917.918,1763.7863,1130.1583,251.6042,2065.657,345.7599,2169.1162,268.0897
LungImg1.ome.tif,CD8,3092.7615,2715.1216,694.292,269.9757,518.1849,1152.3552,293.8175,263.4623
LungImg1.ome.tif,,3891.6404,2093.9329,1073.8202,270.3549,1585.0264,755.5803,273.494,301.4245
LungImg1.ome.tif,CD8,4665.6641,2260.3547,1029.4187,265.936,658.4293,1039.4426,265.848,278.656
LungImg1.ome.tif,FoxP3,4751.6494,2252.5435,998.9891,265.1848,1565.6711,621.4348,1524.8641,393.0978
LungImg1.ome.tif,,2623.4197,3443.1628,761.7926,242.6222,910.3284,430.2173,244.7111,372.6296
LungImg1.ome.tif,FoxP3,4353.4082,3027.3999,752.0833,258.6,1319.3167,406.3167,1170.6833,438.7667
LungImg1.ome.tif,CD8,3733.2717,2217.7637,1140.3805,274.4619,777.2391,1526.2609,307.9402,298.8234
LungImg1.ome.tif,,2178.4116,3462.6677,794.6982,255.1951,490.6037,1117.1769,248.9268,269.3506
LungImg1.ome.tif,CD4,3999.7295,2606.5532,790.4483,261.769,1743.2279,339.7979,263.2629,292.9392
LungImg1.ome.tif,,4232.1851,2302.1372,919.0665,283.447,474.7505,626.5093,255.8358,292.3763
LungImg1.ome.tif,,2897.2715,2739.176,887.5966,244.3521,517.2836,918.6332,250.2396,253.7775
LungImg1.ome.tif,,7317.6436,2046.379,983.0923,249.8185,889.3663,628.8694,471.5287,274.0287
LungImg1.ome.tif,,1369.6688,3631.0164,1183.6229,282.2098,556.2885,883.6229,228.3344,269.6492
LungImg1.ome.tif,CD4: FoxP3,6073.0405,2239.7043,1088.5188,252.542,2435.2378,306.0203,3127.3884,272.3681
LungImg1.ome.tif,CD8,5675.5161,2324.6589,832.3855,239.2547,513.0304,1771.8318,393.9533,311.6425
LungImg1.ome.tif,CD8,4528.1465,3610.5698,900.3942,251.482,400.3086,1109.1711,252.6149,260.9977
LungImg1.ome.tif,,6196.9668,2441.5918,890.6287,247.614,410.8419,733.3272,318.5809,442.9375
LungImg1.ome.tif,CD8: PD1,4142.8931,2385.7078,776.9073,247.0943,584.9025,2317.8738,268.9888,1177.6949
LungImg1.ome.tif,CD8,5818.75,2192.2256,959.9777,254.8781,721.3618,1036.4044,289.5589,337.9085
LungImg1.ome.tif,PD1,3208.2551,3494.5774,886.9749,231.6109,702.4812,863.592,257.4749,652.3661
LungImg1.ome.tif,CD4,6701.6836,2286.3962,935.3514,249.5943,2073.9424,436.7827,331.8275,301.7987
LungImg1.ome.tif,,4623.7065,2579.6309,824.3945,244.1814,1612.1772,305.0106,267.3228,327.1414
LungImg1.ome.tif,FoxP3,3438.3328,3289.4253,757.2023,256.7864,1262.3687,295.4896,1941.259,271.2514
LungImg1.ome.tif,,4636.6655,2207.4438,659.926,246.7749,563.6013,440.8682,260.9067,262.373
LungImg1.ome.tif,CD4: PD1,4510.4937,3590.8845,680.4991,255.5709,2170.5955,308.7986,252.6322,477.2574
LungImg1.ome.tif,FoxP3,2712.9753,3050.1855,684.8985,242.4753,1284.6411,283.8886,920.5966,290.4158
LungImg1.ome.tif,CD8,5177.7651,2013.0322,874.8041,250.2949,620.2396,1826.1659,265.7143,256.424
LungImg1.ome.tif,CD8,7269.729,2205.843,985.4677,225.1508,1054.3477,1910.0831,277.6954,394.0461
LungImg1.ome.tif,CD4: FoxP3,2607.6567,2259.925,729.0643,253.7534,1668.6649,385.7802,852.0938,270.37
LungImg1.ome.tif,,4665.3472,1776.3334,801.6667,254.5442,1089.068,908.7891,270.3878,286.9796
LungImg1.ome.tif,CD4,6203.9214,2409.9851,686.7094,253.1133,1748.8669,403.3892,281.2906,284.0542
LungImg1.ome.tif,FoxP3,6890.7446,1551.61,680.2979,252.5319,1247.8865,389.7447,1546.39,445.3759
LungImg1.ome.tif,,3998.6633,3024.7336,646.3065,252.6332,1169.3165,355.5628,292.0905,300.1156
LungImg1.ome.tif,,1434.4701,2556.1692,937.8657,263.7388,1196.5721,441.6542,247.4478,279.7562
LungImg1.ome.tif,CD8,5055.4966,2569.9395,806.704,240.9977,486.0676,1808.0443,281.6294,273.8392
LungImg1.ome.tif,CD4,4905.1665,3181.946,905.4026,244.1513,1831.6794,558.7256,254.9718,399.0513
