Image,Classification,ROI: 0.33 µm per pixel: Hoechst: Mean,ROI: 0.33 µm per pixel: AF1: Mean,ROI: 0.33 µm per pixel: CD45: Mean,ROI: 0.33 µm per pixel: S100a: Mean,ROI: 0.33 µm per pixel: CD4: Mean,ROI: 0.33 µm per pixel: CD8a: Mean,ROI: 0.33 µm per pixel: FoxP3: Mean,ROI: 0.33 µm per pixel: PD1: Mean
LungImg1.ome.tif,CD4,4093.5808,2816.0403,963.1044,258.6902,2003.6364,363.1229,261.7104,302.8367
LungImg1.ome.tif,CD8,5053.8403,1468.8556,1281.4004,252.4048,618.0875,1417.2167,277.081,309.116
LungImg1.ome.tif,,6801.9062,1365.1965,1115.3666,236.5513,504.6188,1358.0704,275.1701,388.3255
LungImg1.ome.tif,CD8,2150.9834,2060.3625,1066.4762,252.0037,849.6062,1012.5366,249.6429,342.6942
LungImg1.ome.tif,CD4,4273.1099,1413.166,1022.8224,233.4498,2432.7683,329.5772,297.9518,254.3185
LungImg1.ome.tif,,1497.4058,3677.6667,1037.3623,249.1594,1164.7102,502.2609,215.2174,270.1304
LungImg1.ome.tif,CD4,2389.0503,1765.5068,937.6443,255.276,2130.4795,341.7933,528.6075,278.6684
LungImg1.ome.tif,,3364.6946,1687.4197,1190.5035,250.4464,585.0018,877.3821,238.0339,263.6536
LungImg1.ome.tif,FoxP3,4390.605,2208.699,885.7564,236.5431,1479.5431,306.649,2319.6309,252.8593
LungImg1.ome.tif,,3536.4377,3486.6365,903.5455,222.9832,1337.4276,292.1986,276.7744,321.0573
LungImg1.ome.tif,CD8,4036.7207,1626.6366,1100.0391,231.997,1239.2612,1183.3964,281.4535,356.1952
LungImg1.ome.tif,CD4,2320.741,1773.731,722.7209,235.6476,1720.5803,319.3383,251.7691,249.005
LungImg1.ome.tif,CD8: PD1,4733.9136,1401.575,1003.1617,246.645,1205.1117,1529.4634,268.6517,566.7767
LungImg1.ome.tif,CD4,5923.3052,1652.6106,1264.4231,268.1418,3545.8989,316.9808,285.2933,323.488
LungImg1.ome.tif,CD4: PD1,4549.4136,1733.6368,1158.4135,260.6853,2309.9126,309.2868,275.7579,446.3371
LungImg1.ome.tif,CD4: FoxP3,2696.686,3602.5525,1176.4661,253.1978,1967.4808,333.6267,869.3276,295.7083
